Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"GSFC","132.05","133.70","129.75","130.25","-2.75","-2.07","11.10","14.57","166.40","112.50","5.30","6.98"
"BATAINDIA","802.00","802.00","782.20","784.45","-17.45","-2.18","8.75","69.34","832.80","510.70","35.68","10.99"
"CUMMINSIND","753.00","753.00","732.00","736.00","-16.50","-2.19","7.97","59.05","1,096.80","680.65","-22.05","-0.92"
"NESTLEIND","9,161.10","9,182.15","8,880.05","8,950.00","-212.00","-2.31","0.68","60.93","9,250.00","6,267.75","41.17","13.97"
"HDIL","40.50","40.50","39.10","39.20","-0.95","-2.37","76.79","30.36","101.80","38.10","-56.40","-6.11"
"RCOM","20.30","20.75","19.80","19.90","-0.50","-2.45","325.94","65.87","40.15","9.60","-41.12","-21.34"
"BEML","1,090.10","1,092.00","1,061.45","1,065.00","-26.95","-2.47","3.05","32.70","1,947.00","995.60","-21.71","-3.20"
"IBULHSGFIN","1,385.00","1,387.45","1,312.30","1,322.00","-34.05","-2.51","23.70","321.54","1,440.00","955.80","35.00","8.68"
"VGUARD","249.00","249.60","242.40","243.50","-6.40","-2.56","11.18","27.40","254.90","165.00","30.91","8.73"
"HINDALCO","263.00","264.95","254.30","255.00","-7.10","-2.71","95.60","247.54","284.00","181.60","36.77","18.77"
"RNAVAL","28.30","28.45","26.05","26.85","-1.35","-4.79","80.78","21.93","72.65","26.05","-","-"
